,Completed_Tasks,Active_Tasks,Backlog_Tasks,Total_Tasks,Psychological_Safety,Average_PPS,Average_Knowledge
0,0,8,7,15,0.6014858402441412,0.4586881485251893,0.0
1,0,8,7,15,0.6029716804882824,0.4597893879697231,0.0
2,0,8,7,15,0.6044575207324236,0.4611153579230481,0.0
3,0,8,7,15,0.6059433609765649,0.4626423639580557,0.125
4,0,8,7,15,0.6074292012207061,0.46447960121717424,0.25
5,0,8,7,15,0.6089150414648473,0.46609591354278823,0.5
6,0,8,7,15,0.6104008817089885,0.4678889932158325,0.875
7,0,8,7,15,0.6118867219531298,0.46892896357084946,1.25
8,0,8,7,15,0.613372562197271,0.47043747962432503,2.125
9,0,8,7,15,0.6148584024414122,0.47193156783037815,2.5
10,0,8,8,16,0.6163442426855534,0.4731795946956978,3.0
11,0,8,8,16,0.6178300829296947,0.4745064384234743,3.375
12,0,8,8,16,0.6193159231738359,0.47596092727422734,3.5
13,0,8,8,16,0.6208017634179771,0.4773159313971964,4.0
14,0,8,8,16,0.6222876036621183,0.4794473581578006,4.125
15,0,8,8,16,0.6237734439062596,0.48100594341140906,4.5
16,0,8,9,17,0.6252592841504008,0.4822328834798668,4.875
17,0,8,9,17,0.626745124394542,0.48357743232828276,5.125
18,0,8,9,17,0.6282309646386832,0.48530336157724097,5.375
19,0,8,9,17,0.6297168048828244,0.4864193161410217,5.625
20,0,8,9,17,0.6312026451269657,0.48774947701248345,5.875
21,0,8,9,17,0.6326884853711069,0.48949206698018155,6.0
22,0,8,10,18,0.6341743256152481,0.4908936129135195,6.25
23,0,8,10,18,0.6356601658593893,0.49222875093033064,6.5
24,0,8,10,18,0.6371460061035306,0.49384189539140794,6.75
25,0,8,10,18,0.6386318463476718,0.495627965332205,6.75
26,0,8,10,18,0.640117686591813,0.4977344602627796,6.75
27,0,8,11,19,0.6416035268359542,0.4994596626751924,6.875
28,0,8,11,19,0.6430893670800955,0.50049420148306,6.875
29,0,8,11,19,0.6445752073242367,0.50193707705249,7.0
30,0,8,11,19,0.6460610475683779,0.5031000540136827,7.125
31,0,8,11,19,0.6475468878125191,0.504184451937832,7.375
32,0,8,11,19,0.6490327280566603,0.5058965443266425,7.75
33,0,8,11,19,0.6505185683008016,0.5071379163874672,7.875
34,0,8,11,19,0.6520044085449428,0.5083373724323653,8.0
35,0,8,11,19,0.653490248789084,0.5097630133282918,8.125
36,0,8,11,19,0.6549760890332252,0.5109640412734727,8.125
37,0,8,11,19,0.6564619292773665,0.5119656628898936,8.25
38,0,8,11,19,0.6579477695215077,0.5138346849025928,8.375
39,1,7,11,19,0.6594336097656489,0.5152636298095298,8.5
40,1,7,11,19,0.6609194500097901,0.5165714900810678,8.75
41,1,7,11,19,0.6624052902539314,0.5181257924892881,8.875
42,1,7,11,19,0.6638911304980726,0.5196891585668204,9.0
43,2,6,11,19,0.6653769707422138,0.5215115454211322,9.0
44,2,7,10,19,0.666862810986355,0.522630719748125,9.125
45,3,6,10,19,0.6683486512304962,0.524073372412879,9.25
46,3,6,11,20,0.6698344914746375,0.5252814774938115,9.25
47,3,6,11,20,0.6713203317187787,0.5264699471502472,9.375
48,3,6,11,20,0.6728061719629199,0.5277860356255204,9.375
49,3,6,11,20,0.6742920122070611,0.5292952858056538,9.375
50,3,6,11,20,0.6757778524512024,0.5304296781814165,9.5
51,3,6,11,20,0.6772636926953436,0.5316873984210188,9.625
52,3,6,11,20,0.6787495329394848,0.5327934535025627,9.625
53,3,6,11,20,0.680235373183626,0.5339529324361076,9.875
54,3,6,11,20,0.6817212134277673,0.5355527159272525,10.125
55,3,6,11,20,0.6832070536719085,0.5369287691473458,10.125
56,3,6,11,20,0.6846928939160497,0.5386010850253042,10.375
57,3,6,11,20,0.6861787341601909,0.5402243445055284,10.375
58,4,5,11,20,0.6876645744043322,0.5416849836984639,10.5
59,4,6,10,20,0.6891504146484734,0.5430739410518667,10.5
60,5,5,10,20,0.6906362548926146,0.5445525463841212,10.625
61,5,5,10,20,0.6921220951367558,0.5458065195881018,10.625
62,5,5,10,20,0.693607935380897,0.5472775218287028,10.875
63,6,4,10,20,0.6950937756250383,0.5490284314124662,11.0
64,6,5,9,20,0.6965796158691795,0.5508128520010677,11.125
65,6,5,9,20,0.6980654561133207,0.5522510637918521,11.125
66,6,5,9,20,0.6995512963574619,0.5533915240244595,11.125
67,6,5,9,20,0.7010371366016032,0.5554250725276275,11.125
68,6,5,9,20,0.7025229768457444,0.5571566407570149,11.25
69,6,5,9,20,0.7040088170898856,0.5585809776111834,11.25
70,6,5,9,20,0.7054946573340268,0.5596451698049213,11.375
71,6,5,9,20,0.706980497578168,0.5609050416301155,11.375
72,6,5,9,20,0.7084663378223093,0.5623973374798408,11.5
73,6,5,9,20,0.7099521780664505,0.5639297273815831,11.625
74,6,5,9,20,0.7114380183105917,0.56522379705895,11.625
75,6,5,9,20,0.712923858554733,0.5665698695758448,11.625
76,6,5,9,20,0.7144096987988742,0.5678871264946341,11.625
77,7,4,9,20,0.7158955390430154,0.5694474168091007,11.625
78,7,4,9,20,0.7173813792871566,0.5707627547862899,11.875
79,7,4,9,20,0.7188672195312978,0.5721458134137867,11.875
80,7,4,9,20,0.7203530597754391,0.5735022845474953,12.0
81,7,4,9,20,0.7218389000195803,0.5749723648558164,12.375
82,8,3,9,20,0.7233247402637215,0.5761494212106535,12.375
83,8,4,8,20,0.7248105805078627,0.5775529764205721,12.375
84,8,4,8,20,0.726296420752004,0.5791005337894594,12.375
85,8,4,8,20,0.7277822609961452,0.5806123082570188,12.375
86,8,4,8,20,0.7292681012402864,0.5819592295444235,12.375
87,8,4,8,20,0.7307539414844276,0.5833192154638698,12.375
88,8,4,8,20,0.7322397817285689,0.584900954803739,12.375
89,8,4,8,20,0.7337256219727101,0.5864286902912738,12.375
90,8,4,8,20,0.7352114622168513,0.5879641761261325,12.375
91,8,4,8,20,0.7366973024609925,0.5894793141178193,12.375
92,9,3,8,20,0.7381831427051337,0.5909463415933324,12.375
93,9,3,9,21,0.739668982949275,0.5923947969256016,12.375
94,9,3,9,21,0.7411548231934162,0.5937712692554408,12.5
95,9,3,9,21,0.7426406634375574,0.5956072502546201,12.5
96,9,3,9,21,0.7441265036816986,0.5967944443294984,12.5
97,9,3,9,21,0.7456123439258399,0.5981671386054985,12.5
98,9,3,9,21,0.7470981841699811,0.599831965286282,12.5
99,9,3,10,22,0.7485840244141223,0.6012078306671346,12.625
100,9,3,10,22,0.7500698646582635,0.6025853689910592,12.625
101,9,3,10,22,0.7515557049024048,0.6038910277243777,12.75
102,10,2,10,22,0.753041545146546,0.6057737604180585,12.75
103,10,2,10,22,0.7545273853906872,0.6076015194574992,12.75
104,10,2,10,22,0.7560132256348284,0.609049485055003,12.75
105,10,2,10,22,0.7574990658789696,0.6108416889053557,12.75
106,10,2,10,22,0.7589849061231109,0.612087195049672,12.75
107,10,2,10,22,0.7604707463672521,0.6137644719276616,12.75
108,10,2,10,22,0.7619565866113933,0.6153404594763268,12.75
109,10,2,10,22,0.7634424268555345,0.6164486208076556,12.75
110,10,2,10,22,0.7649282670996758,0.6176824954443177,12.75
111,10,2,10,22,0.766414107343817,0.6193743793324774,12.75
112,10,2,10,22,0.7678999475879582,0.6209937690006972,12.75
113,10,2,10,22,0.7693857878320994,0.6225633633092568,13.0
114,11,1,10,22,0.7708716280762407,0.623781090826768,13.0
115,11,2,9,22,0.7723574683203819,0.6257725779387479,13.0
116,11,2,10,23,0.7738433085645231,0.6276332778367628,13.0
117,11,2,11,24,0.7753291488086643,0.6295721718468406,13.0
118,11,2,11,24,0.7768149890528055,0.6308745036152088,13.0
119,11,2,11,24,0.7783008292969468,0.6327147898643808,13.0
120,11,2,12,25,0.779786669541088,0.6341191232695836,13.0
121,11,2,12,25,0.7812725097852292,0.6355247819151364,13.125
122,11,2,12,25,0.7827583500293704,0.6372718648915611,13.25
123,11,2,12,25,0.7842441902735117,0.6386976472696122,13.25
124,11,2,12,25,0.7857300305176529,0.6402180261401155,13.25
125,11,2,12,25,0.7872158707617941,0.6414341371117039,13.25
126,11,2,12,25,0.7887017110059353,0.6428046902857266,13.25
127,11,2,12,25,0.7901875512500766,0.6444427827517659,13.25
128,11,2,12,25,0.7916733914942178,0.6457434766381073,13.25
129,11,2,12,25,0.793159231738359,0.647139526969904,13.25
